,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B
Al,20.8,22.4,15.6,20.3,19.4,18,17.7,21.1,19.2,20.4,23.6,24,24.1,26.1,27.8,25.3,27.9,25.2,27.9,23.9
Si,140.7,132.4,113.6,121.6,118.5,124.4,127.2,129.2,127.8,124.3,155.4,174.7,146.5,171.7,169.7,165.3,167.5,155.2,161.4,149.2
S,391.7,403,291.6,272.4,396,280.3,301.4,434.9,392.9,331.9,321.5,324.3,290,388.9,381.4,309.5,348.7,275.6,411.8,304.9
Cl,306.9,233.6,211.2,224.9,224.3,236.3,251.4,233.2,242.7,228,228.3,220.5,212.2,231,220.2,221.4,245.2,178.2,247.6,211.8
K,76.2,83.4,56,81.2,71.4,57.2,58.5,77.7,67.3,84.9,85.9,83.9,81.8,75.4,87.2,82.9,112.1,85.2,103.9,76.6
Ca,12.5,16.2,12.2,9.1,13.4,10.6,10.4,18.9,16.8,12.9,14.6,12.6,12.5,16.7,18.8,13.5,19.8,13.1,13.2,15.3
Mn,5.1,5.6,5.9,3.6,7.1,5.1,4.6,5.4,4.9,4.3,6.1,6.2,5.6,6.3,8.1,6.5,5.5,5.6,4.9,3.8
Fe,12.8,13.7,11.6,10.7,13.4,12.5,11.6,14.7,13.5,12.2,13.9,17,12.1,16.7,15.2,15.3,15.1,15.3,15.9,13
Ni,2.1,1.9,1.8,1.4,1.7,1.4,1.5,2.3,1.8,1.8,1.6,1.6,1.4,1.7,2,1.7,1.9,1.5,1.8,1.6
Zn,6.2,5.1,5.3,5,6.5,5.9,5.6,6.2,5.2,5.4,6.4,6.5,4.9,5.8,6.5,4.9,6.3,5.4,6.3,5.4
Br,12.2,12.6,8.8,9.5,11.9,9.4,10.6,11.6,13.9,11.6,9.1,8.4,8.5,9.3,10.1,9.6,10.6,8.5,12.9,8.1
Rb,86.4,65.4,56.1,52.1,82.9,54.8,54.2,98.2,73.9,97,50.1,60.4,46.9,62.1,85,57.6,104.5,56.3,69.6,43.8
Sr,85.4,92.5,68.3,60.9,95.1,61.7,64.2,100.7,88.7,84.5,92.1,82.7,74.3,94.2,90,85.1,158,75.4,85.7,64.9
Ba,4.4,5.1,4,3.7,4.3,4,4,4.9,4.7,4.6,4.1,4.9,4.1,4.7,5.1,4.6,4.8,4.2,4.5,4.3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Numbers,Numbers,Numbers,Numbers,Numbers,Numbers,Numbers,Numbers,Numbers,Numbers,Letters,Letters,Letters,Letters,Letters,Letters,Letters,Letters,Letters,Letters
Ca,0.07,0.04,0.04,0.03,0.05,0.09,0.05,0.07,0.1,0.06,0.1,0.09,0.11,0.05,0.07,0.09,0.09,0.11,0.06,0.12
Br,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Rb,7,7,3,6,5,5,3,5,10,4,2,3,2,2,2,2,3,5,1,3
Sr,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
